纺	fong 
驴	lu 
驴	li 
纽	nziu 
纽	niu 
奉	bung 
奉	fung 
玩	ngan 
玩	van 
环	van 
武	vu 
武	mu 
青	ciang 
责	zat 
责	zak 
现	sen 
表	biau 
规	gui 
玫	moi 
抹	mat 
卦	ga 
卦	gak 
坷	ko 
坯	pui 
拓	tot 
坯	poi 
拓	tok 
拓	sak 
拢	lung 
拔	bat 
拔	pat 
坪	piang 
拣	gan 
坦	tan 
担	dan 
坤	kun 
押	qap 
抽	ciu 
拐	goi 
拖	to 
者	zia 
拍	pak 
顶	dang 
顶	din 
拆	cak 
拎	lin 
拎	len 
拥	jung 
拥(qung1,掩埋，遮掩)	qung 
抵	dai 
抵	di 
拘	geu 
势	si 
势	se 
抱	bau 
拄	zu 
拄	cu 
垃	lap 
拉	lai 
拦	lam 
幸	hen 
拌	ban 
拧	nen 
拂	fut 
拂	fit 
拂	but 
拂	put 
拂	pat 
拂	pet 
拙	cut 
拙	zot 
拙	cot 
招	zau 
坡	po 
披	pi 
拨	bat 
拨	pat 
拨	but 
拨	put 
择	cak 
抬	toi 
择	tok 
抬	toi 
拇	mu 
拗	qau 
其	ki 
取	ci 
茉	mat 
茉	mo 
苦	ku 
苦	fu 
昔	thit 
苛	ko 
若	nziok 
茂	mau 
茂	meu 
茂	miu 
苹	pin 
苗	miau 
英	jin 
英	qin 
苟	geu 
苑	von 
苑	van 
苞	bau 
范	fan 
直	cit 
茁	zot 
茄	kio 
茄	ke 
茎	gin 
苔	toi 
茅	mau 
枉	vong 
林	lim 
枝	gi 
枝	zi 
杯	bui 
枢	ku 
枢	ki 
柜	kui 
枚	moi 
析	thit 
析	thak
煠	thap
霅(thap6,散)	thap
霅碎(破碎)	thap thui
板	ban
松	cung
松	thung
枪	ciong
枫	fung
构	geu
杭	hong
杰	ket
述	sut
枕	zim
丧	thong
或	vet
或	fet
画	vak
画	fa
卧	mo
事	thu
刺	ci
枣	zau
雨	ji
卖	mai
郁	juk
矾	fan
矿	kong
码	ma
厕	cet
厕	cu
奈	nai
奔	bun
奇	ki
奋	fun
奋	bun
态	tai
欧	qeu
殴	qeu
垄	lung
妻	ci
轰	hung
顷	ken
转	zon
斩	zam
轮	lin
轮	lun
软	nzion
到	dau
非	fui
非	bui
叔	suk
歧	ki
肯	ken
肯	hen
齿	ci
些	thia
卓	cok
虎	fu
虏	lu
肾	sin
贤	sen
尚	song
旺	vong
具	ki
具	gi
具	gu
味	mui
果	go
味	mui
昆	kun
国	get
哎	qai
咕	gu
昌	cong
畅	cong
明	min
呵	ho
呵	he
畅	cong
明	min
易	ji
易	jit
咙	lung
昂	ngong
迪	tit
典	dian
固	gu
忠	zung
呻	sin
咒	ziu
咋	tha
咋	za
咐	fu
咐	pu
呼	fu
鸣	min
咏	jun
呢	ni
咄	cut
咄	cot
咄	zot
咄	dot
咄	dut
咖	ga
岸	qon
岸	ngan
岩	ngam
帖	tiap
罗	lo
帜	zit
帕	pak
岭	liang
凯	kai
败	pai
账	zong
贩	fan
贬	ben
购	geu
贮	du
贮	cu
图	tu
钓	diau
制	ze
知	di
知	zi
迭	diet
迭	diat
氛	fun
垂	cui
牧	muk
物	vut
乖	goi
刮	gat
秆	gon
和	fo
和	vo
季	gui
委	vui
秉	biang
秉	bin
佳	ga
佳	gai
侍	thu
